from_cbsa_info_CBSA Name,from_CBSA,from_CBSA_ID,from_state,to_cbsa_info_CBSA Name,to_CBSA,to_CBSA_ID,to_state,Total Perm,Total Temp,from_num_households,to_num_households
Albuquerque,"Albuquerque, NM",310M400US10740, NM,Phoenix-Mesa-Chandler,"Phoenix-Mesa-Chandler, AZ",310M400US38060, AZ,990.00,133.00,351354.00,1693396.00
Albuquerque,"Albuquerque, NM",310M400US10740, NM,Salt Lake City,"Salt Lake City, UT",310M400US41620, UT,68.00,0.00,351354.00,395298.00
Albuquerque,"Albuquerque, NM",310M400US10740, NM,San Antonio-New Braunfels,"San Antonio-New Braunfels, TX",310M400US41700, TX,163.00,0.00,351354.00,811335.00
Albuquerque,"Albuquerque, NM",310M400US10740, NM,San Diego-Chula Vista-Carlsbad,"San Diego-Chula Vista-Carlsbad, CA",310M400US41740, CA,162.00,0.00,351354.00,1125286.00
Albuquerque,"Albuquerque, NM",310M400US10740, NM,Seattle-Tacoma-Bellevue,"Seattle-Tacoma-Bellevue, WA",310M400US42660, WA,133.00,0.00,351354.00,1499147.00
Albuquerque,"Albuquerque, NM",310M400US10740, NM,Tucson,"Tucson, AZ",310M400US46060, AZ,237.00,0.00,351354.00,404739.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,47478.00,2355.00,320529.00,320529.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",310M400US15980, FL,24.00,141.00,320529.00,275965.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Lancaster,"Lancaster, PA",310M400US29540, PA,56.00,0.00,320529.00,201620.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Miami-Fort Lauderdale-Pompano Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",310M400US33100, FL,33.00,75.00,320529.00,2127517.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Naples-Marco Island,"Naples-Marco Island, FL",310M400US34940, FL,0.00,66.00,320529.00,142979.00
Miami-Fort Lauderdale-Pompano Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",310M400US33100, FL,New York-Newark-Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",310M400US35620, NY-NJ-PA,11592.00,15858.00,2127517.00,6997001.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,North Port-Sarasota-Bradenton,"North Port-Sarasota-Bradenton, FL",310M400US35840, FL,0.00,78.00,320529.00,328198.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Philadelphia-Camden-Wilmington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",310M400US37980, PA-NJ-DE-MD,1874.00,0.00,320529.00,2280112.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Reading,"Reading, PA",310M400US39740, PA,1071.00,0.00,320529.00,154712.00
Allentown-Bethlehem-Easton,"Allentown-Bethlehem-Easton, PA-NJ",310M400US10900, PA-NJ,Scranton--Wilkes-Barre,"Scranton--Wilkes-Barre, PA",310M400US42540, PA,456.00,0.00,320529.00,226611.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Anchorage,"Anchorage, AK",310M400US11260, AK,28694.00,1518.00,137784.00,137784.00
